"Job Title","Company","Location","Industry","Salary","Job Description","Date Posted","Experience Level","Employment Type","Education"
"Data Analyst","Ibrahim Traders","Lahore","Information Technology","PKR 80,000 - PKR 120,000","We are seeking a detail-oriented Data Analyst to join our IT team. Requirements: 2-4 years experience in data analysis, proficiency in SQL, Python, Excel, and Power BI. Strong analytical and communication skills. Bachelor degree in Computer Science or related field required.","2024-03-15","Mid Level","Full-time","Bachelor's Degree"
"Senior Data Scientist","National Bank of Pakistan","Karachi","Finance","PKR 180,000 - PKR 250,000","Looking for an experienced Senior Data Scientist to lead our analytics team. Requirements: 5+ years of experience in machine learning, deep learning, Python, TensorFlow, NLP, statistics. Master degree preferred. Must have experience with AWS cloud services and Docker.","2024-04-01","Senior","Full-time","Master's Degree"
"Business Intelligence Analyst","Jazz Telecom","Islamabad","Telecommunications","PKR 100,000 - PKR 150,000","We need a BI Analyst to build dashboards and reports. Skills required: SQL, Power BI, Tableau, Excel, data modelling, ETL processes. 3+ years experience. Strong problem solving and stakeholder management skills.","2024-03-20","Mid Level","Full-time","Bachelor's Degree"
"Junior Data Analyst","ptcl","Lahore","Information Technology","PKR 50,000 - PKR 80,000","Entry level position for fresh graduates. Requirements: SQL, Excel, Python basics. Good communication and teamwork skills. Bachelor degree required. Knowledge of statistics is a plus.","2024-05-10","Junior","Full-time","Bachelor's Degree"
"Data Engineer","Safar Electronics","Karachi","Information Technology","PKR 150,000 - PKR 200,000","Looking for a Data Engineer to build and maintain data pipelines. Requirements: Python, SQL, Apache Spark, Airflow, ETL, Docker, AWS. 4+ years experience. Strong problem solving skills.","2024-04-15","Mid Level","Full-time","Bachelor's Degree"
"Machine Learning Engineer","Brain Tech Solutions","Lahore","Information Technology","PKR 200,000 - PKR 300,000","We are hiring an ML Engineer to develop and deploy machine learning models. Requirements: Python, scikit-learn, TensorFlow, deep learning, NLP, Docker, AWS. 3+ years experience. Master degree preferred.","2024-03-25","Mid Level","Full-time","Master's Degree"
"Marketing Analyst","Unilever Pakistan","Karachi","Consumer Goods","PKR 90,000 - PKR 130,000","Looking for a Marketing Analyst to analyze campaign performance. Skills: SQL, Excel, Python, data visualization, A/B testing, market research. 2-3 years experience. Strong communication skills.","2024-04-05","Mid Level","Full-time","Bachelor's Degree"
"Reporting Analyst","HBL Bank","Lahore","Finance","PKR 85,000 - PKR 125,000","Need a Reporting Analyst to create financial reports. Requirements: SQL, Excel, Power BI, VBA, data modelling. 2+ years experience in financial analysis. Attention to detail required.","2024-03-18","Mid Level","Full-time","Bachelor's Degree"
"Data Analyst","Systems Limited","Islamabad","Information Technology","PKR 95,000 - PKR 140,000","Join our analytics team as a Data Analyst. Requirements: Python, SQL, pandas, NumPy, matplotlib, Excel, Power BI. 2-3 years experience. Strong analytical thinking and problem solving.","2024-04-12","Mid Level","Full-time","Bachelor's Degree"
"AI Engineer","NetSol Technologies","Lahore","Information Technology","PKR 220,000 - PKR 350,000","Looking for an AI Engineer to work on generative AI and LLM projects. Requirements: Python, machine learning, deep learning, NLP, LLMs, prompt engineering, TensorFlow, PyTorch. 3+ years experience.","2024-05-01","Mid Level","Full-time","Master's Degree"
"Financial Analyst","Engro Corporation","Karachi","Energy","PKR 110,000 - PKR 160,000","Need a Financial Analyst for budgeting and forecasting. Skills: Excel, financial modelling, SQL, Python, data analysis. 3+ years experience in finance. Strong attention to detail.","2024-03-22","Mid Level","Full-time","Master's Degree"
"Database Administrator","NADRA","Islamabad","Government","PKR 120,000 - PKR 170,000","DBA needed to manage PostgreSQL and MySQL databases. Requirements: SQL, PostgreSQL, MySQL, performance tuning, backup and recovery, Docker. 5+ years experience.","2024-04-08","Senior","Full-time","Bachelor's Degree"
"Operations Analyst","Cake by OLPK","Lahore","E-commerce","PKR 70,000 - PKR 100,000","Looking for an Operations Analyst to optimize business processes. Skills: Excel, SQL, Python, data analysis, problem solving. 1-2 years experience. Fresh graduates encouraged.","2024-05-15","Junior","Full-time","Bachelor's Degree"
"Research Analyst","SBP","Karachi","Finance","PKR 130,000 - PKR 180,000","Research Analyst for economic analysis and reporting. Requirements: statistics, Python, R, SQL, data analysis, report writing, research methodology. Master degree in economics or statistics required.","2024-04-20","Mid Level","Full-time","Master's Degree"
"Data Analyst","Daraz Pakistan","Karachi","E-commerce","PKR 88,000 - PKR 135,000","Data Analyst to support e-commerce analytics. Requirements: SQL, Python, Excel, Power BI, data cleaning, data modelling. 2+ years experience. Strong analytical and communication skills.","2024-03-30","Mid Level","Full-time","Bachelor's Degree"
"Business Analyst","TRG Pakistan","Islamabad","Information Technology","PKR 105,000 - PKR 155,000","Business Analyst to bridge business and technology teams. Requirements: SQL, Excel, data analysis, requirements gathering, stakeholder management, JIRA, process mapping. 3+ years experience.","2024-04-18","Mid Level","Full-time","Bachelor's Degree"
